|1141|09/11/2017|17:39:14|11|22|3|316|
|1141|09/11/2017|17:39:40|9|12|3|486|
|2068|09/11/2017|17:44:04|11|17|3|472|
|2563|09/11/2017|17:45:13|10|15|3|825|
|2817|09/11/2017|17:45:54|10|12|3|741|
|17|09/11/2017|19:12:29|8|9|3|726|
|14|11/11/2017|10:27:34|7|9|3|278|
|210|11/11/2017|20:19:56|14|59|3|460|
|12|11/11/2017|20:24:50|15|49|3|582|
|14|12/11/2017|11:40:16|5|70|3|704|
|14|12/11/2017|11:42:44|4|10|2|76|
|14|12/11/2017|11:43:11|13|23|2|26|
|14|12/11/2017|11:44:15|15|29|3|308|
|593|13/11/2017|16:12:19|7|7|2|52|
|1604|13/11/2017|16:17:52|10|9|2|05|
|2111|16/11/2017|12:17:44|10|54|5|80521|
|2964|16/11/2017|12:19:50|7|16|2|82|
|13|19/11/2017|21:08:25|10|9|2|82|
|494|20/11/2017|21:43:19|7|6|2|16|
|636|20/11/2017|21:47:27|3|2|2|34|
|706|20/11/2017|21:48:31|9|9|2|83|
|706|20/11/2017|21:49:16|7|7|2|16|
|14|22/11/2017|18:57:10|7|7|2|46|
|163|22/11/2017|19:01:14|10|13|2|30|
|15|24/11/2017|00:11:42|5|5|2|32|
|473|25/11/2017|11:08:05|6|42|3|560|
